Date,Time,Voltage1,Current1 ,Status1,BAT %,,
7/7/2025,22:58:05,67.06,3.04,Charging,#REF!,,
7/7/2025,22:58:10,67.04,3.08,Charging,,,
7/7/2025,22:58:15,67.07,3.09,Charging,,,
7/7/2025,22:58:21,67.09,3.11,Charging,,,
7/7/2025,22:58:26,67.09,3.09,Charging,,,
7/7/2025,22:58:32,67.05,3.1,Charging,,,
7/7/2025,22:58:38,67.07,3.08,Charging,,,
7/7/2025,22:58:45,67.07,3.09,Charging,,,
7/7/2025,22:58:50,67.07,3.1,Charging,,,
7/7/2025,22:58:55,67.11,3.11,Charging,,,
7/7/2025,22:59:00,67.1,3.05,Charging,,,
7/7/2025,22:59:05,67.07,3.11,Charging,,,
7/7/2025,22:59:11,67.06,3.11,Charging,,,
7/7/2025,22:59:17,67.12,3.1,Charging,,,
7/7/2025,22:59:22,67.11,3.08,Charging,,,
7/7/2025,22:59:28,67.1,3.13,Charging,,,
7/7/2025,22:59:33,67.1,3.06,Charging,,,
7/7/2025,22:59:39,66.41,0,Idle,,,
7/7/2025,22:59:44,66.3,0,Idle,,,
7/7/2025,22:59:49,66.21,0,Idle,,,
7/7/2025,22:59:55,66.18,0,Idle,,,
7/7/2025,23:00:00,66.14,0,Idle,,,
7/7/2025,23:00:06,66.11,0,Idle,,,
7/7/2025,23:00:11,66.1,0,Idle,,,
7/7/2025,23:00:17,66.05,0,Idle,,,
7/7/2025,23:00:23,66.05,0,Idle,,,
7/7/2025,23:00:30,66.04,0,Idle,,,
7/7/2025,23:00:36,66.03,0,Idle,,,
7/7/2025,23:00:42,66.01,0,Idle,,,
7/7/2025,23:00:48,66.02,0,Discharging,,,
7/7/2025,23:00:55,66.04,-0.01,Discharging,,,
7/7/2025,23:01:01,66.03,-0.01,Discharging,,,
7/7/2025,23:01:06,66.02,-0.01,Discharging,,,
7/7/2025,23:01:12,66.02,0,Idle,,,
7/7/2025,23:01:18,65.97,0,Idle,,,
7/7/2025,23:01:24,65.93,0,Idle,,,
7/7/2025,23:01:31,65.94,0,Idle,,,
7/7/2025,23:01:37,65.94,0,Idle,,,
7/7/2025,23:01:42,65.93,0,Idle,,,
7/7/2025,23:01:47,65.91,0,Idle,,,
7/7/2025,23:01:53,65.89,0,Idle,,,
7/7/2025,23:01:58,66.52,2.94,Charging,,,
7/7/2025,23:02:05,66.74,3.02,Charging,,,
7/7/2025,23:02:11,66.75,3.06,Charging,,,
7/7/2025,23:02:16,66.83,3.1,Charging,,,
7/7/2025,23:02:21,66.84,3.08,Charging,,,
7/7/2025,23:02:27,66.92,3.09,Charging,,,
7/7/2025,23:02:33,66.93,3.04,Charging,,,
7/7/2025,23:02:38,66.96,0,Charging,,,
7/7/2025,23:02:45,66.97,3.07,Charging,,,
7/7/2025,23:02:53,66.98,3.08,Charging,,,
7/7/2025,23:02:58,67.02,3.07,Charging,,,
7/7/2025,23:03:04,67.04,3,Charging,,,
7/7/2025,23:03:09,67.01,3.08,Charging,,,
7/7/2025,23:03:15,67.07,3.08,Charging,,,
7/7/2025,23:03:21,67.04,3.08,Charging,,,
7/7/2025,23:03:26,66.99,3.1,Charging,,,
7/7/2025,23:03:31,67.09,3.09,Charging,,,
7/7/2025,23:03:38,67.03,3.02,Charging,,,
7/7/2025,23:03:45,67.07,0,Charging,,,
7/7/2025,23:03:52,67.09,3.04,Charging,,,
7/7/2025,23:03:57,67.07,3.09,Charging,,,
7/7/2025,23:04:02,67.11,3.09,Charging,,,
7/7/2025,23:04:07,67.1,3.1,Charging,,,
7/7/2025,23:04:14,67.05,3.12,Charging,,,
7/7/2025,23:04:19,67.11,3.08,Charging,,,
7/7/2025,23:04:26,67.1,3.09,Charging,,,
7/7/2025,23:04:32,67.1,3.09,Charging,,,
7/7/2025,23:04:39,67.13,3.07,Charging,,,
7/7/2025,23:04:45,67.06,3.09,Charging,,,
7/7/2025,23:04:53,67.13,3.09,Charging,,,
